"acceptedName","specimenCount","propContemporary","logSpecimenCount","yearPublished","Threatened"
"Aleuria mellea",2,0,0.693147180559945,1879,NA
"Aleuria michiganensis",9,0,2.19722457733622,1937,NA
"Aleuria riparia",2,0,0.693147180559945,1887,NA
"Aleuria saccardoi",3,0,1.09861228866811,1892,NA
"Aleurina americana",2,0,0.693147180559945,1986,NA
"Aleurina aquehongensis",8,0,2.07944154167984,1914,NA
"Aleurina fuscocarpa",25,0,3.2188758248682,1885,NA
"Aleurina novae-terrae",1,0,0,1898,NA
"Aleurina olivacea",4,0,1.38629436111989,1893,NA
"Aleurocystidiellum subcruentatum",157,0.222929936305732,5.05624580534831,1860,NA
"Aleurocystidiellum tsugae",75,0.0666666666666667,4.31748811353631,1920,NA
"Aleurocystis hakgallae",23,0.0434782608695652,3.13549421592915,1873,NA
"Aleurocystis magnispora",6,0.166666666666667,1.79175946922805,1914,NA
"Aleurodiscus aberrans",18,0,2.89037175789616,1956,NA
"Aleurodiscus abietis",112,0.00892857142857142,4.71849887129509,1964,NA
"Aleurodiscus amorphus",1869,0.365971107544141,7.53315880745556,1801,NA
"Aleurodiscus andinus",3,0,1.09861228866811,1997,NA
"Aleurodiscus aurantius",315,0.558730158730159,5.75257263882563,1794,NA
"Aleurodiscus botryosus",203,0.315270935960591,5.31320597904179,1918,NA
"Aleurodiscus burtii",22,0.0454545454545454,3.09104245335832,1918,NA
"Aleurodiscus cerussatus",314,0.207006369426752,5.74939298590825,1892,NA
"Aleurodiscus crassus",1,0,0,1920,NA
"Aleurodiscus cremeus",3,0,1.09861228866811,1915,NA
"Aleurodiscus croceus",38,0,3.63758615972639,1893,NA
"Aleurodiscus cupulatus",1,0,0,1997,NA
"Aleurodiscus disciformis",1835,0.820708446866485,7.51479976048867,1789,NA
"Aleurodiscus farlowii",142,0.0422535211267606,4.95582705760126,1918,"1"
"Aleurodiscus fruticetorum",7,0,1.94591014905531,1943,NA
"Aleurodiscus grantii",212,0.25,5.35658627467201,1920,NA
"Aleurodiscus helveolus",2,0,0.693147180559945,1925,NA
"Aleurodiscus lapponicus",37,0.216216216216216,3.61091791264422,1944,NA
"Aleurodiscus laurentianus",19,0.105263157894737,2.94443897916644,1964,NA
"Aleurodiscus macrocystidiatus",15,0.2,2.70805020110221,1964,NA
"Aleurodiscus mesaverdensis",5,0,1.6094379124341,1987,NA
"Aleurodiscus paraphysatus",13,0,2.56494935746154,1926,NA
"Aleurodiscus piceinus",29,0,3.36729582998647,1964,NA
"Aleurodiscus spiniger",25,0,3.2188758248682,1964,NA
"Aleurodiscus succineus",4,0,1.38629436111989,1925,NA
"Aleurodiscus thujae",10,0.1,2.30258509299405,1990,NA
"Aleurodiscus utahensis",3,0,1.09861228866811,1983,NA
"Aleurodiscus wakefieldiae",117,0.846153846153846,4.76217393479776,1967,NA
"Alloclavaria purpurea",1767,0.749858517260894,7.4770384723197,1780,NA
"Alnicola inculta",75,0.693333333333333,4.31748811353631,1888,NA
"Alpova cinnamomeus",49,0.0816326530612245,3.89182029811063,1931,NA
"Alpova concolor",3,0.333333333333333,1.09861228866811,2014,NA
"Alpova diplophloeus",256,0.2734375,5.54517744447956,1918,NA
"Alpova mollis",9,0,2.19722457733622,1920,NA
"Alpova nauseosus",22,0.0909090909090909,3.09104245335832,1928,NA
"Alpova trappei",92,0.543478260869565,4.52178857704904,1977,NA
"Alutaceodontia alutacea",1203,0.546965918536991,7.09257371597468,1821,NA
"Alysidium aureofulvum",121,0,4.79579054559674,1879,NA
"Alysidium resinae",55,0.163636363636364,4.00733318523247,1832,NA
"Amanita abrupta",408,0.661764705882353,6.01126717440416,1897,NA
"Amanita abruptiformis",8,0.125,2.07944154167984,1938,NA
"Amanita aestivalis",118,0.559322033898305,4.77068462446567,1959,NA
"Amanita agglutinata",132,0.113636363636364,4.88280192258637,1849,NA
"Amanita albocreata",89,0.617977528089888,4.48863636973214,1902,NA
"Amanita alliacea",19,0.368421052631579,2.94443897916644,1941,NA
"Amanita altifissura",3,0,1.09861228866811,1979,NA
"Amanita anisata",4,0,1.38629436111989,1945,NA
"Amanita aprica",315,1,5.75257263882563,2005,"0"
"Amanita arctica",154,0.954545454545455,5.03695260241363,1987,NA
"Amanita arenicola",19,0.894736842105263,2.94443897916644,2000,NA
"Amanita arkansana",65,0.846153846153846,4.17438726989564,1926,NA
"Amanita armillariiformis",11,0,2.39789527279837,1990,"1"
"Amanita atkinsoniana",122,0.5,4.80402104473326,1917,NA
"Amanita augusta",598,0.994983277591973,6.39359075395063,2013,"0"
"Amanita aurantisquamosa",2,0,0.693147180559945,1990,NA
"Amanita austrobulbosa",2,0,0.693147180559945,1931,NA
"Amanita austrostraminea",12,0.666666666666667,2.484906649788,1927,NA
"Amanita badia",21,0.80952380952381,3.04452243772342,1774,NA
"Amanita battarrae",2902,0.820124052377671,7.97315543344413,1874,NA
