acceptedName,specimenCount,propContemporary,yearPublished,medianPrediction,lower95ConfInt,upper95ConfInt
Amanita excelsa,7564,0.759,1801,0.011,0.003,0.035
Cyathus striatus,8442,0.747,1778,0.011,0.002,0.041
Asterodon ferruginosus,4277,0.801,1894,0.011,0.004,0.027
Omphalotus olivascens,1773,0.941,1976,0.011,0.003,0.032
Ampulloclitocybe clavipes,7642,0.732,1801,0.011,0.003,0.036
Amanita submembranacea,2080,0.831,1975,0.011,0.003,0.033
Lactarius glyciosmus,7089,0.711,1818,0.012,0.003,0.034
Cortinarius armillatus,6950,0.728,1818,0.012,0.003,0.034
Helvella vespertina,1037,0.977,2013,0.012,0.003,0.036
Lepiota cristata,7947,0.788,1774,0.012,0.002,0.043
Amanita crocea,3878,0.819,1898,0.012,0.004,0.029
Geastrum triplex,6312,0.707,1840,0.012,0.004,0.031
Cortinarius rubellus,4311,0.795,1887,0.012,0.004,0.028
Lactarius aurantiacus,7336,0.744,1801,0.012,0.003,0.037
Megacollybia rodmanii,1073,0.99,2008,0.012,0.003,0.036
Marasmius rotula,8366,0.738,1772,0.012,0.002,0.046
Hypoxylon fragiforme,8169,0.779,1768,0.012,0.002,0.046
Russula emetica,8789,0.677,1774,0.012,0.002,0.047
Tricholoma fulvum,7177,0.79,1792,0.012,0.003,0.038
Agaricus sylvicola,6457,0.69,1835,0.012,0.004,0.033
Leccinellum pseudoscabrum,2939,0.86,1924,0.012,0.004,0.03
Ganoderma resinaceum,4063,0.802,1889,0.012,0.005,0.029
Tricholoma sciodes,2079,0.786,1974,0.012,0.004,0.036
Gloeophyllum odoratum,8112,0.733,1774,0.012,0.002,0.047
Cortinarius traganus,6116,0.8,1818,0.012,0.003,0.034
Protostropharia semiglobata,8046,0.707,1781,0.013,0.002,0.045
Stropharia aeruginosa,8083,0.737,1772,0.013,0.002,0.047
Lacrymaria lacrymabunda,7575,0.742,1785,0.013,0.003,0.043
Lactarius blennius,6857,0.794,1794,0.013,0.003,0.04
Mycena rosea,6370,0.956,1774,0.013,0.003,0.043
Lactarius helvus,6265,0.739,1821,0.013,0.004,0.036
Lactarius camphoratus,7432,0.738,1786,0.013,0.003,0.044
Exobasidium vaccinii,6120,0.573,1861,0.013,0.004,0.036
Hygrocybe miniata,5827,0.795,1821,0.013,0.004,0.035
Xerocomellus porosporus,2087,0.846,1958,0.013,0.004,0.035
Coprinopsis picacea,6028,0.936,1784,0.013,0.003,0.042
Craterellus lutescens,7330,0.792,1774,0.013,0.003,0.047
Leccinum vulpinum,2097,0.819,1961,0.013,0.004,0.036
Russula ochroleuca,6191,0.826,1801,0.013,0.003,0.039
Hericium americanum,1369,0.942,1984,0.013,0.004,0.037
Clavulinopsis luteoalba,2995,0.909,1904,0.013,0.005,0.031
Cyanosporus subcaesius,2002,0.763,1974,0.013,0.004,0.038
Hydnellum aurantiacum,6638,0.809,1789,0.014,0.003,0.043
Sidera lenis,5169,0.81,1836,0.014,0.004,0.034
Coprinopsis lagopus,5139,0.881,1821,0.014,0.004,0.036
Tricholoma terreum,7655,0.725,1774,0.014,0.003,0.051
Hapalopilus rutilans,7745,0.639,1792,0.014,0.003,0.047
Eutypa sparsa,3123,0.941,1889,0.014,0.005,0.032
Pycnoporellus fulgens,4320,0.872,1852,0.014,0.005,0.033
Antrodia sinuosa,6182,0.703,1821,0.014,0.004,0.039
Lactarius vietus,6402,0.671,1821,0.014,0.004,0.04
Tremella fuciformis,3994,0.905,1856,0.014,0.005,0.033
Neoboletus luridiformis,4568,0.855,1844,0.014,0.005,0.034
Oxyporus corticola,5623,0.778,1821,0.014,0.004,0.038
Hygrocybe splendidissima,1688,0.928,1960,0.014,0.005,0.037
Mycena vitilis,5001,0.797,1838,0.014,0.005,0.035
Russula velenovskyi,2925,0.737,1928,0.015,0.005,0.036
Meripilus giganteus,8043,0.883,1719,0.015,0.002,0.079
Laccaria amethysteo-occidentalis,1367,0.892,1984,0.015,0.005,0.04
Mycena sanguinolenta,6286,0.741,1805,0.015,0.004,0.042
Peniophora quercina,6715,0.761,1787,0.015,0.003,0.047
Baeospora myosura,5261,0.84,1818,0.015,0.004,0.038
Clavulinopsis helvola,5895,0.866,1790,0.015,0.004,0.044
Mycena inclinata,4992,0.781,1838,0.015,0.005,0.036
Amanita jacksonii,1295,0.941,1980,0.015,0.005,0.04
Hygrophorus piceae,2326,0.758,1949,0.015,0.005,0.039
Pseudoclitocybe cyathiformis,6282,0.817,1786,0.015,0.003,0.047
Exidia nigricans,5843,0.936,1776,0.015,0.003,0.048
Grifola frondosa,6724,0.86,1762,0.015,0.003,0.056
Russula parazurea,2509,0.806,1931,0.015,0.006,0.037
Tricholoma arvernense,1510,0.865,1976,0.015,0.005,0.041
Auriscalpium vulgare,7688,0.763,1753,0.015,0.002,0.062
Entoloma rhodopolium,6046,0.694,1818,0.015,0.004,0.042
Russula puellaris,5255,0.721,1838,0.015,0.005,0.038
Phaeoclavulina eumorpha,3406,0.853,1882,0.015,0.006,0.034
Rhodocollybia maculata,6574,0.673,1805,0.015,0.004,0.045
Panaeolus papilionaceus,7297,0.679,1781,0.015,0.003,0.054
Lactifluus vellereus,5964,0.678,1821,0.015,0.004,0.043
Geoglossum fallax,3050,0.785,1908,0.015,0.006,0.036
Phellodon tomentosus,6595,0.799,1774,0.016,0.003,0.053
Leucoagaricus leucothites,5010,0.756,1835,0.016,0.005,0.038
Ramaria stricta,6072,0.774,1795,0.016,0.004,0.047
Mycena pseudocorticola,1971,0.906,1938,0.016,0.006,0.038
Gliophorus laetus,5617,0.816,1800,0.016,0.004,0.045
Hygrocybe cantharellus,4944,0.825,1822,0.016,0.005,0.04
Meruliopsis taxicola,6059,0.775,1792,0.016,0.004,0.048
Daedalea xantha,6137,0.655,1815,0.016,0.004,0.046
Panaeolina foenisecii,5771,0.781,1800,0.016,0.004,0.046
Coltricia perennis,8895,0.566,1753,0.016,0.002,0.074
Agaricus augustus,4467,0.823,1838,0.016,0.006,0.038
Lactarius salmonicolor,2136,0.751,1950,0.016,0.006,0.042
Russula fellea,5129,0.779,1821,0.016,0.005,0.042
Trichaptum laricinum,2849,0.816,1905,0.017,0.007,0.037
Russula grata,3337,0.76,1893,0.017,0.007,0.038
Leccinum aurantiacum,6515,0.773,1774,0.017,0.003,0.056
Clitocybe fragrans,5692,0.805,1792,0.017,0.004,0.05
Lentinus substrictus,6573,0.673,1792,0.017,0.004,0.053
Russula amoenolens,1798,0.835,1952,0.017,0.006,0.042
Skeletocutis amorpha,5819,0.673,1815,0.017,0.005,0.047
Hygrocybe glutinipes,1798,0.911,1940,0.017,0.006,0.041
Picipes badius,5615,0.831,1788,0.017,0.004,0.051
Helvella dryophila,694,0.978,2013,0.017,0.006,0.047
Chlorophyllum rhacodes,4329,0.834,1835,0.017,0.006,0.04
Phellodon niger,5599,0.82,1789,0.017,0.004,0.052
Amanita gemmata,4785,0.72,1838,0.018,0.006,0.042
Tricholoma sulphureum,5863,0.796,1784,0.018,0.004,0.054
Albatrellus ovinus,6542,0.735,1774,0.018,0.004,0.06
Oxyporus populinus,6402,0.626,1803,0.018,0.004,0.053
Cylindrobasidium evolvens,5124,0.764,1815,0.018,0.005,0.046
Lycoperdon excipuliforme,6335,0.77,1772,0.018,0.004,0.06
Xylaria longipes,3487,0.828,1867,0.018,0.007,0.039
Mycetinis alliaceus,5821,0.846,1773,0.018,0.004,0.058
Hebeloma mesophaeum,5358,0.653,1828,0.018,0.005,0.047
Ganoderma tsugae,2730,0.816,1902,0.018,0.007,0.04
Claviceps purpurea,8062,0.335,1815,0.018,0.004,0.066
Hydnellum caeruleum,4913,0.825,1808,0.018,0.005,0.048
Calocybe gambosa,5363,0.812,1793,0.018,0.005,0.053
Cortinarius anomalus,5936,0.724,1792,0.018,0.004,0.054
Laetiporus conifericola,772,0.968,2001,0.019,0.006,0.049
Fomitopsis ochracea,709,0.959,2008,0.019,0.006,0.05
Hebeloma leucosarx,1840,0.71,1960,0.019,0.006,0.048
Exidia recisa,4833,0.798,1813,0.019,0.006,0.048
Xylobolus frustulatus,5144,0.798,1801,0.019,0.005,0.051
Hydnellum scabrosum,4076,0.83,1836,0.019,0.007,0.043
Xerocomus subtomentosus,7329,0.68,1753,0.019,0.003,0.076
Bovistella utriformis,6218,0.744,1774,0.019,0.004,0.063
Russula integra,6639,0.78,1753,0.019,0.003,0.072
Crepidotus cesatii,3673,0.829,1851,0.019,0.007,0.042
Phellinus laevigatus,3904,0.656,1874,0.019,0.007,0.044
Lactarius badiosanguineus,1776,0.749,1954,0.019,0.007,0.048
Mycena polygramma,5670,0.755,1786,0.02,0.005,0.059
Cortinarius stillatitius,4115,0.786,1838,0.02,0.007,0.045
Tyromyces odorus,2824,0.834,1885,0.02,0.008,0.043
